TABLEID:Lot No. Information
*Item No.	*Variant Code	*Lot No.	*Description	*Test Quality	*Certificate Number	*Blocked	*Country/Region Code
33130		L260628-33130	HSD 06/07/2026	 		No	
33130		L260630-33130	HSD 08/07/2026	 		No	
33130		L260702-33130	HSD 09/07/2026	 		No	
33130		L260704-33130	HSD 10/07/2026	 		No	
33130		L260706-33130	HSD 12/07/2026	 		No	
33130		L260708-33130	HSD 16/07/2026	 		No	
33130		L260710-33130	HSD 18/07/2026	 		No	
33130		L260712-33130	HSD 20/07/2026	 		No	
33130		L260716-33130	HSD 23/07/2026	 		No	
33130		L260718-33130	HSD 26/07/2026	 		No	
33130		L260722-33130	HSD 30/07/2026	 		No	
33130		L260724-33130	HSD 31/07/2026	 		No	
33130		L260728-33130	HSD 03/08/2026	 		No	
33130		L260730-33130	HSD 07/08/2026	 		No	
33130		L260803-33130	HSD 10/08/2026	 		No	
33130		L260805-33130	HSD 13/08/2026	 		No	
33130		L260809-33130	HSD 16/08/2026	 		No	
33130		L260811-33130	HSD 19/08/2026	 		No	
33130		L260813-33130	HSD 21/08/2026	 		No	
33130		L260815-33130	HSD 21/08/2026	 		No	
33130		L260817-33130	HSD 25/08/2026	 		No	
33130		L260819-33130	HSD 27/08/2026	 		No	
33130		L260821-33130	HSD 29/08/2026	 		No	
33130		L260823-33130	HSD 31/08/2026	 		No	
33130		L260827-33130	HSD 02/09/2026	 		No	
33130		L260829-33130	HSD 06/09/2026	 		No	
33130		L260902-33130	HSD 08/09/2026	 		No	
33130		L260904-33130	HSD 11/09/2026	 		No	
33130		L260908-33130	HSD 16/09/2026	 		No	
33130		L260910-33130	HSD 16/09/2026	 		No	
33130		L260913-33130-SD	HSD 20/09/2026	 		No	
33130		L260914-33130	HSD 20/09/2026	 		No	
33130		L260916-33130	HSD 23/09/2026	 		No	
33160		L260322-33160A	HSD 29/03/2026	 		No	
33160		L260322-33160B	HSD 30/03/2026	 		No	
33160		L260324-33160A	HSD 01/04/2026	 		No	
33160		L260324-33160B	HSD 31/03/2026	 		No	
33160		L260326-33160	HSD 02/04/2026	 		No	
33160		L260330-33160	HSD 05/04/2026	 		No	
33160		L260401-33160	HSD 07/04/2026	 		No	
33160		L260405-33160A	HSD 13/04/2026	 		No	
33160		L260405-33160B	HSD 11/04/2026	 		No	
33160		L260407-33160	HSD 13/04/2026	 		No	
33160		L260409-33160	HSD 17/04/2026	 		No	
33160		L260411-33160	HSD 19/04/2026	 		No	
33160		L260413-33160	HSD 21/04/2026	 		No	
33160		L260415-33160	HSD 23/04/2026	 		No	
33160		L260417-33160A	HSD 25/04/2026	 		No	
33160		L260417-33160B	HSD 25/04/2026	 		No	
33160		L260419-33160	HSD 27/04/2026	 		No	
33160		L260423-33160A	HSD 29/04/2026	 		No	
33160		L260423-33160B	HSD 29/04/2026	 		No	
33160		L260425-33160	HSD 03/05/2026	 		No	
33160		L260429-33160	HSD 06/05/2026	 		No	
33160		L260501-33160	HSD 08/05/2026	 		No	
33160		L260505-33160	HSD 12/05/2026	 		No	
33160		L260507-33160	HSD 14/05/2026	 		No	
33160		L260511-33160A	HSD 19/05/2026	 		No	
33160		L260511-33160B	HSD 19/05/2026	 		No	
33160		L260513-33160	HSD 19/05/2026	 		No	
33160		L260517-33160	HSD 25/05/2026	 		No	
33160		L260519-33160	HSD 26/05/2026	 		No	
33160		L260521-33160	HSD 29/05/2026	 		No	
33160		L260523-33160A	HSD 31/05/2026	 		No	
33160		L260523-33160B	HSD 29/05/2026	 		No	
33160		L260525-33160	HSD 01/06/2026	 		No	
33160		L260527-33160	HSD 02/06/2026	 		No	
33160		L260529-33160	HSD 04/06/2026	 		No	
33160		L260531-33160	HSD 08/06/2026	 		No	
33160		L260604-33160A	HSD 10/06/2026	 		No	
33160		L260604-33160B	HSD 11/06/2026	 		No	
33160		L260606-33160	HSD 13/06/2026	 		No	
33160		L260610-33160A	HSD 17/06/2026	 		No	
33160		L260610-33160B	HSD 17/06/2026	 		No	
33160		L260612-33160	HSD 20/06/2026	 		No	
33160		L260616-33160	HSD 24/06/2026	 		No	
33160		L260618-33160	HSD 24/06/2026	 		No	
33160		L260622-33160	HSD 28/06/2026	 		No	
33160		L260624-33160	HSD 01/07/2026	 		No	
33160		L260628-33160A	HSD 04/07/2026	 		No	
33160		L260628-33160B	HSD 05/07/2026	 		No	
33160		L260630-33160	HSD 07/07/2026	 		No	
33160		L260702-33160	HSD 10/07/2026	 		No	
33160		L260704-33160	HSD 11/07/2026	 		No	
33160		L260706-33160	HSD 12/07/2026	 		No	
33160		L260708-33160	HSD 15/07/2026	 		No	
33160		L260710-33160A	HSD 18/07/2026	 		No	
33160		L260710-33160B	HSD 17/07/2026	 		No	
33160		L260712-33160	HSD 20/07/2026	 		No	
33160		L260716-33160	HSD 24/07/2026	 		No	
33160		L260718-33160	HSD 24/07/2026	 		No	
33160		L260722-33160	HSD 29/07/2026	 		No	
33160		L260724-33160	HSD 31/07/2026	 		No	
33160		L260728-33160A	HSD 05/08/2026	 		No	
33160		L260728-33160B	HSD 05/08/2026	 		No	
33160		L260730-33160	HSD 07/08/2026	 		No	
33160		L260803-33160	HSD 10/08/2026	 		No	
33160		L260805-33160	HSD 11/08/2026	 		No	
33160		L260809-33160	HSD 15/08/2026	 		No	
33160		L260811-33160	HSD 19/08/2026	 		No	
33160		L260813-33160	HSD 20/08/2026	 		No	
33160		L260815-33160A	HSD 21/08/2026	 		No	
33160		L260815-33160B	HSD 23/08/2026	 		No	
33160		L260817-33160	HSD 23/08/2026	 		No	
33160		L260819-33160	HSD 25/08/2026	 		No	
33160		L260821-33160	HSD 27/08/2026	 		No	
33160		L260823-33160	HSD 31/08/2026	 		No	
33160		L260827-33160A	HSD 03/09/2026	 		No	
33160		L260827-33160B	HSD 04/09/2026	 		No	
33160		L260829-33160	HSD 05/09/2026	 		No	
33160		L260902-33160	HSD 08/09/2026	 		No	
33160		L260904-33160	HSD 10/09/2026	 		No	
33160		L260908-33160	HSD 14/09/2026	 		No	
33160		L260910-33160A	HSD 16/09/2026	 		No	
33160		L260910-33160B	HSD 17/09/2026	 		No	
33160		L260914-33160	HSD 21/09/2026	 		No	
33160		L260916-33160	HSD 23/09/2026	 		No	
33170		L260322-33170A	HSD 28/03/2026	 		No	
33170		L260322-33170B	HSD 28/03/2026	 		No	
33170		L260324-33170A	HSD 30/03/2026	 		No	
33170		L260324-33170B	HSD 28/03/2026	 		No	
33170		L260326-33170A	HSD 30/03/2026	 		No	
33170		L260326-33170B	HSD 31/03/2026	 		No	
33170		L260330-33170A	HSD 05/04/2026	 		No	
33170		L260330-33170B	HSD 04/04/2026	 		No	
33170		L260401-33170A	HSD 06/04/2026	 		No	
33170		L260401-33170B	HSD 07/04/2026	 		No	
33170		L260405-33170A	HSD 11/04/2026	 		No	
33170		L260405-33170B	HSD 11/04/2026	 		No	
33170		L260407-33170A	HSD 13/04/2026	 		No	
33170		L260407-33170B	HSD 12/04/2026	 		No	
33170		L260409-33170	HSD 15/04/2026	 		No	
33170		L260411-33170A	HSD 17/04/2026	 		No	
33170		L260411-33170B	HSD 15/04/2026	 		No	
33170		L260413-33170	HSD 19/04/2026	 		No	
33170		L260415-33170	HSD 19/04/2026	 		No	
33170		L260417-33170A	HSD 22/04/2026	 		No	
33170		L260417-33170B	HSD 22/04/2026	 		No	
33170		L260419-33170A	HSD 25/04/2026	 		No	
33170		L260419-33170B	HSD 24/04/2026	 		No	
33170		L260423-33170A	HSD 27/04/2026	 		No	
33170		L260423-33170B	HSD 27/04/2026	 		No	
33170		L260425-33170A	HSD 29/04/2026	 		No	
33170		L260425-33170B	HSD 01/05/2026	 		No	
33170		L260429-33170A	HSD 03/05/2026	 		No	
33170		L260429-33170B	HSD 05/05/2026	 		No	
33170		L260501-33170A	HSD 05/05/2026	 		No	
33170		L260501-33170B	HSD 06/05/2026	 		No	
33170		L260505-33170A	HSD 11/05/2026	 		No	
33170		L260505-33170B	HSD 09/05/2026	 		No	
33170		L260507-33170A	HSD 13/05/2026	 		No	
33170		L260507-33170B	HSD 12/05/2026	 		No	
33170		L260511-33170A	HSD 17/05/2026	 		No	
33170		L260511-33170B	HSD 16/05/2026	 		No	
33170		L260513-33170A	HSD 18/05/2026	 		No	
33170		L260513-33170B	HSD 17/05/2026	 		No	
33170		L260517-33170A	HSD 23/05/2026	 		No	
33170		L260517-33170B	HSD 22/05/2026	 		No	
33170		L260519-33170A	HSD 24/05/2026	 		No	
33170		L260519-33170B	HSD 23/05/2026	 		No	
33170		L260521-33170	HSD 27/05/2026	 		No	
33170		L260523-33170A	HSD 27/05/2026	 		No	
33170		L260523-33170B	HSD 29/05/2026	 		No	
33170		L260525-33170	HSD 29/05/2026	 		No	
33170		L260527-33170	HSD 31/05/2026	 		No	
33170		L260529-33170A	HSD 04/06/2026	 		No	
33170		L260529-33170B	HSD 02/06/2026	 		No	
33170		L260531-33170A	HSD 04/06/2026	 		No	
33170		L260531-33170B	HSD 05/06/2026	 		No	
33170		L260604-33170A	HSD 09/06/2026	 		No	
33170		L260604-33170B	HSD 08/06/2026	 		No	
33170		L260606-33170A	HSD 12/06/2026	 		No	
33170		L260606-33170B	HSD 12/06/2026	 		No	
33170		L260610-33170A	HSD 16/06/2026	 		No	
33170		L260610-33170B	HSD 15/06/2026	 		No	
33170		L260612-33170A	HSD 16/06/2026	 		No	
33170		L260612-33170B	HSD 16/06/2026	 		No	
33170		L260616-33170	HSD 22/06/2026	 		No	
33170		L260618-33170A	HSD 22/06/2026	 		No	
33170		L260618-33170B	HSD 23/06/2026	 		No	
33170		L260622-33170A	HSD 28/06/2026	 		No	
33170		L260622-33170B	HSD 26/06/2026	 		No	
33170		L260624-33170A	HSD 28/06/2026	 		No	
33170		L260624-33170B	HSD 28/06/2026	 		No	
33170		L260628-33170A	HSD 03/07/2026	 		No	
33170		L260628-33170B	HSD 04/07/2026	 		No	
33170		L260630-33170A	HSD 05/07/2026	 		No	
33170		L260630-33170B	HSD 06/07/2026	 		No	
33170		L260702-33170	HSD 07/07/2026	 		No	
33170		L260704-33170	HSD 09/07/2026	 		No	
33170		L260706-33170	HSD 10/07/2026	 		No	
33170		L260708-33170	HSD 14/07/2026	 		No	
33170		L260710-33170A	HSD 14/07/2026	 		No	
33170		L260710-33170B	HSD 15/07/2026	 		No	
33170		L260712-33170A	HSD 17/07/2026	 		No	
33170		L260712-33170B	HSD 16/07/2026	 		No	
33170		L260716-33170A	HSD 20/07/2026	 		No	
33170		L260716-33170B	HSD 21/07/2026	 		No	
33170		L260718-33170A	HSD 22/07/2026	 		No	
33170		L260718-33170B	HSD 22/07/2026	 		No	
33170		L260722-33170A	HSD 28/07/2026	 		No	
33170		L260722-33170B	HSD 27/07/2026	 		No	
33170		L260724-33170A	HSD 29/07/2026	 		No	
33170		L260724-33170B	HSD 30/07/2026	 		No	
33170		L260728-33170A	HSD 03/08/2026	 		No	
33170		L260728-33170B	HSD 03/08/2026	 		No	
33170		L260730-33170A	HSD 05/08/2026	 		No	
33170		L260730-33170B	HSD 05/08/2026	 		No	
33170		L260803-33170A	HSD 07/08/2026	 		No	
33170		L260803-33170B	HSD 07/08/2026	 		No	
33170		L260805-33170A	HSD 11/08/2026	 		No	
33170		L260805-33170B	HSD 09/08/2026	 		No	
33170		L260809-33170A	HSD 14/08/2026	 		No	
33170		L260809-33170B	HSD 14/08/2026	 		No	
33170		L260811-33170A	HSD 15/08/2026	 		No	
33170		L260811-33170B	HSD 16/08/2026	 		No	
33170		L260813-33170	HSD 19/08/2026	 		No	
33170		L260815-33170A	HSD 21/08/2026	 		No	
33170		L260815-33170B	HSD 19/08/2026	 		No	
33170		L260817-33170A	HSD 22/08/2026	 		No	
33170		L260817-33170B	HSD 23/08/2026	 		No	
33170		L260819-33170	HSD 25/08/2026	 		No	
33170		L260821-33170A	HSD 27/08/2026	 		No	
33170		L260821-33170B	HSD 26/08/2026	 		No	
33170		L260823-33170A	HSD 27/08/2026	 		No	
33170		L260823-33170B	HSD 28/08/2026	 		No	
33170		L260827-33170A	HSD 31/08/2026	 		No	
33170		L260827-33170B	HSD 31/08/2026	 		No	
33170		L260829-33170A	HSD 02/09/2026	 		No	
33170		L260829-33170B	HSD 03/09/2026	 		No	
33170		L260902-33170A	HSD 08/09/2026	 		No	
33170		L260902-33170B	HSD 08/09/2026	 		No	
33170		L260904-33170A	HSD 10/09/2026	 		No	
33170		L260904-33170B	HSD 10/09/2026	 		No	
33170		L260908-33170A	HSD 13/09/2026	 		No	
33170		L260908-33170B	HSD 13/09/2026	 		No	
33170		L260910-33170A	HSD 15/09/2026	 		No	
33170		L260910-33170B	HSD 15/09/2026	 		No	
33170		L260912-33170-SD	HSD 17/09/2026	 		No	
33170		L260914-33170	HSD 18/09/2026	 		No	
33170		L260916-33170	HSD 22/09/2026	 		No	
33323		L260322-33323A	HSD 04/11/2026	 		No	
33323		L260322-33323B	HSD 26/11/2026	 		No	
33323		L260322-33323C	HSD 10/12/2026	 		No	
33323		L260405-33323A	HSD 09/12/2026	 		No	
33323		L260405-33323B	HSD 19/12/2026	 		No	
33323		L260405-33323C	HSD 11/11/2026	 		No	
33323		L260419-33323A	HSD 25/12/2026	 		No	
33323		L260419-33323B	HSD 08/12/2026	 		No	
33323		L260419-33323C	HSD 13/01/2027	 		No	
33323		L260503-33323A	HSD 05/12/2026	 		No	
33323		L260503-33323B	HSD 03/12/2026	 		No	
33323		L260503-33323C	HSD 16/01/2027	 		No	
33323		L260517-33323A	HSD 26/12/2026	 		No	
33323		L260517-33323B	HSD 03/01/2027	 		No	
33323		L260517-33323C	HSD 15/01/2027	 		No	
33323		L260531-33323A	HSD 01/01/2027	 		No	
33323		L260531-33323B	HSD 25/01/2027	 		No	
33323		L260531-33323C	HSD 20/02/2027	 		No	
33323		L260614-33323A	HSD 22/02/2027	 		No	
33323		L260614-33323B	HSD 17/01/2027	 		No	
33323		L260614-33323C	HSD 17/02/2027	 		No	
33323		L260628-33323A	HSD 21/03/2027	 		No	
33323		L260628-33323B	HSD 31/01/2027	 		No	
33323		L260628-33323C	HSD 29/01/2027	 		No	
33323		L260712-33323A	HSD 24/03/2027	 		No	
33323		L260712-33323B	HSD 07/03/2027	 		No	
33323		L260712-33323C	HSD 13/02/2027	 		No	
33323		L260720-33323-SD	HSD 13/09/2026	 		No	
33323		L260726-33323A	HSD 02/03/2027	 		No	
33323		L260726-33323B	HSD 31/03/2027	 		No	
33323		L260726-33323C	HSD 23/02/2027	 		No	
33323		L260809-33323A	HSD 09/03/2027	 		No	
33323		L260809-33323B	HSD 01/05/2027	 		No	
33323		L260809-33323C	HSD 12/04/2027	 		No	
33323		L260823-33323A	HSD 02/04/2027	 		No	
33323		L260823-33323B	HSD 16/04/2027	 		No	
33323		L260823-33323C	HSD 03/05/2027	 		No	
33323		L260906-33323A	HSD 23/05/2027	 		No	
33323		L260906-33323B	HSD 05/05/2027	 		No	
33323		L260906-33323C	HSD 22/04/2027	 		No	
33341		L260322-33341A	HSD 01/10/2026	 		No	
33341		L260322-33341B	HSD 05/10/2026	 		No	
33341		L260322-33341C	HSD 31/08/2026	 		No	
33341		L260405-33341A	HSD 22/09/2026	 		No	
33341		L260405-33341B	HSD 19/09/2026	 		No	
33341		L260405-33341C	HSD 13/10/2026	 		No	
33341		L260419-33341A	HSD 07/10/2026	 		No	
33341		L260419-33341B	HSD 14/10/2026	 		No	
33341		L260419-33341C	HSD 27/10/2026	 		No	
33341		L260503-33341A	HSD 18/10/2026	 		No	
33341		L260503-33341B	HSD 24/10/2026	 		No	
33341		L260503-33341C	HSD 23/10/2026	 		No	
33341		L260517-33341A	HSD 28/11/2026	 		No	
33341		L260517-33341B	HSD 25/11/2026	 		No	
33341		L260517-33341C	HSD 01/11/2026	 		No	
33341		L260531-33341A	HSD 18/11/2026	 		No	
33341		L260531-33341B	HSD 24/11/2026	 		No	
33341		L260531-33341C	HSD 17/11/2026	 		No	
33341		L260614-33341A	HSD 02/12/2026	 		No	
33341		L260614-33341B	HSD 29/11/2026	 		No	
33341		L260614-33341C	HSD 24/12/2026	 		No	
33341		L260628-33341A	HSD 30/12/2026	 		No	
33341		L260628-33341B	HSD 04/12/2026	 		No	
33341		L260628-33341C	HSD 05/12/2026	 		No	
33341		L260712-33341A	HSD 18/12/2026	 		No	
33341		L260712-33341B	HSD 27/01/2027	 		No	
33341		L260712-33341C	HSD 31/12/2026	 		No	
33341		L260726-33341A	HSD 31/12/2026	 		No	
33341		L260726-33341B	HSD 23/01/2027	 		No	
33341		L260726-33341C	HSD 08/02/2027	 		No	
33341		L260809-33341A	HSD 13/02/2027	 		No	
33341		L260809-33341B	HSD 01/02/2027	 		No	
33341		L260809-33341C	HSD 23/01/2027	 		No	
33341		L260819-33341-SD	HSD 18/10/2026	 		No	
33341		L260823-33341A	HSD 31/01/2027	 		No	
33341		L260823-33341B	HSD 22/02/2027	 		No	
33341		L260823-33341C	HSD 28/02/2027	 		No	
33341		L260906-33341A	HSD 20/02/2027	 		No	
33341		L260906-33341B	HSD 08/03/2027	 		No	
33341		L260906-33341C	HSD 11/03/2027	 		No	
